 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  no,  no,  1,  4046.557,  0.50,  0.05,  0.60,  0.23,  -0.70,  0.28,  0 
 vs,  yes,  yes,  1,  1749.775,  0.50,  0.20,  0.50,  -0.35,  -0.60,  -0.15,  0 
 vs,  yes,  yes,  1,  2415.554,  0.50,  0.35,  0.60,  0.07,  -0.50,  0.43,  0 
 vs,  no,  no,  1,  2598.883,  0.20,  0.05,  0.50,  -0.11,  -0.60,  -0.06,  0 
 vs,  yes,  yes,  1,  1166.979,  0.50,  0.35,  0.60,  0.07,  -0.50,  0.43,  0 
 vs,  no,  no,  1,  2231.966,  0.50,  0.15,  0.60,  -0.34,  -0.60,  -0.19,  0 
 vs,  yes,  yes,  1,  870.574,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  no,  no,  1,  1939.407,  0.80,  0.30,  0.70,  0.24,  -0.70,  0.54,  0 
 vs,  no,  no,  1,  2445.927,  0.50,  0.35,  0.60,  -0.43,  -0.50,  -0.08,  0 
 vs,  yes,  no,  0,  2076.638,  0.60,  0.20,  0.60,  0.22,  -0.70,  0.42,  0 
 vs,  yes,  yes,  1,  1048.100,  0.50,  0.00,  0.60,  -0.24,  -0.60,  -0.24,  0 
 vs,  yes,  yes,  1,  2526.309,  0.50,  0.25,  0.50,  0.12,  -0.70,  0.38,  0 
 vs,  no,  no,  1,  1969.641,  0.50,  0.05,  0.60,  -0.28,  -0.70,  -0.23,  0 
 vs,  yes,  yes,  1,  706.252,  0.50,  0.15,  0.50,  -0.33,  -0.50,  -0.17,  0 
 vs,  no,  no,  1,  1973.699,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  no,  no,  1,  1742.874,  0.50,  0.25,  0.50,  0.12,  -0.70,  0.38,  0 
 vs,  yes,  yes,  1,  1057.374,  0.50,  0.00,  0.50,  -0.25,  -0.70,  -0.25,  0 
 vs,  yes,  yes,  1,  1198.953,  0.50,  0.00,  0.60,  -0.26,  -0.60,  -0.26,  0 
 vs,  yes,  yes,  1,  1110.535,  0.50,  0.15,  0.50,  -0.33,  -0.50,  -0.17,  0 
 vs,  no,  no,  1,  3113.525,  0.50,  0.25,  0.50,  -0.36,  -0.60,  -0.11,  0 
 vs,  yes,  yes,  1,  733.749,  0.40,  0.25,  0.50,  0.06,  -0.60,  0.31,  0 
 vs,  yes,  yes,  1,  1511.872,  0.80,  0.10,  0.70,  0.35,  -0.60,  0.45,  0 
 vs,  yes,  yes,  1,  1107.585,  0.50,  0.20,  0.50,  -0.35,  -0.60,  -0.15,  0 
 vs,  yes,  yes,  1,  958.561,  0.40,  0.05,  0.60,  -0.24,  -0.60,  -0.19,  0 
 vs,  no,  no,  1,  2240.105,  0.40,  0.40,  0.50,  -0.21,  -0.70,  0.19,  0 
 vs,  no,  no,  1,  2726.697,  0.50,  0.15,  0.50,  -0.33,  -0.50,  -0.17,  0 
 vs,  no,  no,  1,  2682.163,  0.40,  0.35,  0.50,  -0.20,  -0.70,  0.15,  0 
 vs,  yes,  yes,  1,  1206.925,  0.40,  0.40,  0.50,  -0.21,  -0.70,  0.19,  0 
 vs,  yes,  yes,  1,  637.878,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  no,  no,  1,  1988.001,  0.20,  0.10,  0.70,  -0.14,  -0.50,  -0.04,  0 
 vs,  no,  no,  1,  1932.552,  0.50,  0.00,  0.50,  -0.25,  -0.70,  -0.25,  0 
 vs,  yes,  yes,  1,  999.081,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  no,  no,  1,  2422.613,  0.50,  0.25,  0.50,  0.12,  -0.70,  0.38,  0 
 vs,  no,  no,  1,  1429.997,  0.60,  0.20,  0.60,  0.22,  -0.70,  0.42,  0 
 vs,  yes,  yes,  1,  868.962,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  777.902,  0.50,  0.10,  0.60,  0.20,  -0.50,  0.30,  0 
 vs,  yes,  yes,  1,  1082.731,  0.50,  0.00,  0.60,  0.25,  -0.50,  0.25,  0 
 vs,  yes,  yes,  1,  1542.943,  0.50,  0.10,  0.70,  -0.30,  -0.60,  -0.20,  0 
 vs,  yes,  yes,  1,  1025.368,  0.50,  0.40,  0.60,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  736.281,  0.50,  0.40,  0.60,  0.06,  -0.60,  0.46,  0 
 vs,  no,  no,  1,  2338.372,  0.40,  0.40,  0.50,  -0.21,  -0.70,  0.19,  0 
 vs,  no,  no,  1,  2949.017,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  yes,  yes,  1,  1807.258,  0.60,  0.20,  0.60,  0.22,  -0.70,  0.42,  0 
 vs,  yes,  yes,  1,  1535.074,  0.40,  0.35,  0.50,  -0.20,  -0.70,  0.15,  0 
 vs,  yes,  yes,  1,  1897.446,  0.50,  0.10,  0.70,  -0.30,  -0.60,  -0.20,  0 
 vs,  no,  no,  1,  1806.012,  0.50,  0.10,  0.70,  -0.30,  -0.60,  -0.20,  0 
 vs,  yes,  yes,  1,  2581.832,  0.50,  0.35,  0.60,  -0.43,  -0.50,  -0.08,  0 
 vs,  yes,  yes,  1,  1734.548,  0.80,  0.15,  0.70,  0.34,  -0.60,  0.49,  0 
 vs,  yes,  yes,  1,  1177.006,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  no,  no,  1,  2169.275,  0.50,  0.30,  0.60,  0.10,  -0.60,  0.40,  0 
 vs,  yes,  no,  0,  2274.575,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  1734.763,  0.40,  0.05,  0.60,  -0.24,  -0.60,  -0.19,  0 
 vs,  no,  no,  1,  2209.206,  0.40,  0.35,  0.50,  -0.20,  -0.70,  0.15,  0 
 vs,  yes,  yes,  1,  657.180,  0.50,  0.05,  0.60,  0.23,  -0.70,  0.28,  0 
 vs,  yes,  yes,  1,  886.637,  0.40,  0.35,  0.50,  -0.20,  -0.70,  0.15,  0 
 vs,  yes,  yes,  1,  1618.783,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  yes,  yes,  1,  1337.930,  0.80,  0.30,  0.70,  0.24,  -0.70,  0.54,  0 
 vs,  yes,  yes,  1,  1548.271,  0.30,  0.30,  0.70,  -0.32,  -0.60,  -0.02,  0 
 vs,  no,  no,  1,  2022.667,  0.50,  0.05,  0.60,  -0.28,  -0.70,  -0.23,  0 
