 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  no,  no,  1,  2143.559,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  778.101,  0.50,  0.20,  0.60,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  1050.979,  0.80,  0.05,  0.60,  0.36,  -0.50,  0.41,  0 
 vs,  yes,  yes,  1,  888.542,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  1516.761,  0.50,  0.15,  0.70,  -0.35,  -0.60,  -0.20,  0 
 vs,  yes,  yes,  1,  1071.812,  0.70,  0.35,  0.60,  0.19,  -0.50,  0.54,  0 
 vs,  yes,  yes,  1,  956.704,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
 vs,  no,  no,  1,  2662.268,  0.50,  0.15,  0.50,  -0.33,  -0.50,  -0.17,  0 
 vs,  yes,  yes,  1,  604.375,  0.50,  0.15,  0.70,  -0.35,  -0.60,  -0.20,  0 
 vs,  no,  no,  1,  2171.809,  0.40,  0.35,  0.60,  -0.14,  -0.70,  0.21,  0 
 vs,  no,  no,  1,  2141.075,  0.30,  0.00,  0.70,  0.16,  -0.60,  0.16,  0 
 vs,  no,  no,  1,  2359.673,  0.50,  0.20,  0.60,  0.15,  -0.60,  0.35,  0 
 vs,  no,  no,  1,  2393.654,  0.50,  0.20,  0.60,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  no,  0,  2281.642,  0.20,  0.15,  0.70,  -0.14,  -0.50,  0.01,  0 
 vs,  no,  no,  1,  2245.861,  0.50,  0.05,  0.60,  0.23,  -0.60,  0.28,  0 
 vs,  no,  no,  1,  3468.473,  0.50,  0.30,  0.60,  -0.40,  -0.60,  -0.10,  0 
 vs,  yes,  yes,  1,  802.176,  0.20,  0.15,  0.70,  -0.14,  -0.50,  0.01,  0 
 vs,  no,  no,  1,  1633.656,  0.20,  0.15,  0.70,  -0.14,  -0.50,  0.01,  0 
 vs,  yes,  yes,  1,  879.447,  0.50,  0.00,  0.70,  0.25,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  700.313,  0.40,  0.35,  0.60,  -0.14,  -0.70,  0.21,  0 
 vs,  yes,  yes,  1,  1039.770,  0.30,  0.25,  0.60,  -0.28,  -0.60,  -0.03,  0 
 vs,  no,  no,  1,  4237.959,  0.50,  0.25,  0.60,  0.12,  -0.50,  0.38,  0 
 vs,  yes,  yes,  1,  1020.634,  0.50,  0.10,  0.60,  -0.32,  -0.70,  -0.22,  0 
 vs,  no,  no,  1,  2603.500,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  yes,  yes,  1,  2067.629,  0.50,  0.20,  0.70,  -0.33,  -0.50,  -0.13,  0 
 vs,  no,  no,  1,  3184.779,  0.60,  0.10,  0.50,  0.27,  -0.60,  0.37,  0 
 vs,  yes,  yes,  1,  1486.068,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  no,  no,  1,  2402.408,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  1841.784,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  yes,  yes,  1,  960.279,  0.50,  0.00,  0.70,  0.25,  -0.70,  0.25,  0 
 vs,  no,  no,  1,  1801.846,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  977.648,  0.40,  0.25,  0.70,  0.09,  -0.60,  0.34,  0 
 vs,  yes,  yes,  1,  1946.569,  0.30,  0.30,  0.60,  -0.09,  -0.50,  0.21,  0 
 vs,  yes,  yes,  1,  741.101,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  1431.264,  0.50,  0.05,  0.60,  0.23,  -0.60,  0.28,  0 
 vs,  yes,  yes,  1,  1294.297,  0.50,  0.20,  0.70,  -0.33,  -0.50,  -0.13,  0 
 vs,  no,  no,  1,  2834.593,  0.50,  0.15,  0.50,  -0.33,  -0.50,  -0.17,  0 
 vs,  yes,  yes,  1,  753.454,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  1866.261,  0.30,  0.25,  0.60,  -0.28,  -0.60,  -0.03,  0 
 vs,  yes,  yes,  1,  1263.445,  0.20,  0.00,  0.60,  0.10,  -0.50,  0.10,  0 
 vs,  yes,  yes,  1,  685.091,  0.50,  0.10,  0.70,  -0.30,  -0.70,  -0.20,  0 
 vs,  yes,  yes,  1,  2169.211,  0.30,  0.30,  0.60,  -0.09,  -0.50,  0.21,  0 
 vs,  no,  no,  1,  2650.475,  0.30,  0.30,  0.60,  -0.09,  -0.50,  0.21,  0 
 vs,  no,  no,  1,  1880.603,  0.30,  0.30,  0.60,  -0.20,  -0.60,  0.10,  0 
 vs,  no,  no,  1,  1749.744,  0.50,  0.05,  0.60,  0.23,  -0.60,  0.28,  0 
 vs,  yes,  yes,  1,  639.588,  0.50,  0.20,  0.50,  -0.35,  -0.60,  -0.15,  0 
 vs,  yes,  yes,  1,  1621.715,  0.50,  0.20,  0.50,  -0.35,  -0.60,  -0.15,  0 
 vs,  yes,  yes,  1,  2132.131,  0.70,  0.35,  0.60,  0.19,  -0.50,  0.54,  0 
 vs,  no,  no,  1,  2206.732,  0.50,  0.35,  0.60,  0.07,  -0.60,  0.43,  0 
 vs,  yes,  yes,  1,  1006.654,  0.50,  0.20,  0.60,  0.15,  -0.60,  0.35,  0 
 vs,  no,  no,  1,  2198.205,  0.50,  0.05,  0.60,  -0.28,  -0.70,  -0.23,  0 
 vs,  no,  no,  1,  2214.199,  0.50,  0.40,  0.60,  0.05,  -0.50,  0.45,  0 
 vs,  yes,  yes,  1,  605.511,  0.30,  0.25,  0.60,  -0.28,  -0.60,  -0.03,  0 
 vs,  yes,  yes,  1,  1020.287,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  yes,  no,  0,  1619.195,  0.50,  0.05,  0.60,  0.23,  -0.60,  0.28,  0 
 vs,  yes,  yes,  1,  841.164,  0.50,  0.05,  0.60,  -0.28,  -0.70,  -0.23,  0 
 vs,  yes,  yes,  1,  823.338,  0.80,  0.05,  0.60,  0.36,  -0.50,  0.41,  0 
 vs,  no,  no,  1,  2686.162,  0.40,  0.40,  0.60,  -0.31,  -0.60,  0.09,  0 
 vs,  yes,  yes,  1,  642.949,  0.20,  0.00,  0.60,  0.10,  -0.50,  0.10,  0 
 vs,  yes,  yes,  1,  481.093,  0.30,  0.30,  0.60,  -0.20,  -0.60,  0.10,  0 
 vs,  yes,  yes,  1,  549.760,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  799.204,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  yes,  yes,  1,  1150.737,  0.70,  0.35,  0.60,  0.19,  -0.50,  0.54,  0 
 vs,  no,  no,  1,  2007.673,  0.30,  0.30,  0.60,  -0.09,  -0.50,  0.21,  0 
 vs,  yes,  yes,  1,  807.576,  0.50,  0.40,  0.60,  0.05,  -0.50,  0.45,  0 
 vs,  no,  no,  1,  2791.094,  0.90,  0.20,  0.50,  0.36,  -0.70,  0.56,  0 
 vs,  no,  no,  1,  3303.887,  0.60,  0.05,  0.60,  0.30,  -0.70,  0.35,  0 
 vs,  no,  no,  1,  1756.149,  0.50,  0.20,  0.70,  -0.33,  -0.50,  -0.13,  0 
