 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  yes,  yes,  1,  2091.039,  0.30,  0.30,  0.50,  -0.13,  -0.70,  0.17,  0 
 vs,  yes,  yes,  1,  1151.629,  0.50,  0.20,  0.70,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  1625.264,  0.50,  0.05,  0.70,  -0.28,  -0.50,  -0.23,  0 
 vs,  yes,  yes,  1,  1992.354,  0.80,  0.40,  0.70,  0.20,  -0.60,  0.60,  0 
 vs,  no,  yes,  0,  2544.888,  0.40,  0.25,  0.70,  0.07,  -0.50,  0.32,  0 
 vs,  yes,  no,  0,  1265.824,  0.50,  0.40,  0.60,  -0.45,  -0.50,  -0.05,  0 
 vs,  yes,  yes,  1,  2965.663,  0.60,  0.25,  0.70,  0.18,  -0.50,  0.43,  0 
 vs,  yes,  yes,  1,  1959.180,  0.60,  0.05,  0.50,  0.25,  -0.70,  0.30,  0 
 vs,  yes,  yes,  1,  1073.062,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  no,  no,  1,  3157.953,  0.90,  0.15,  0.50,  0.37,  -0.60,  0.52,  0 
 vs,  yes,  yes,  1,  2223.556,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  yes,  yes,  1,  854.868,  0.60,  0.00,  0.70,  -0.29,  -0.60,  -0.29,  0 
 vs,  no,  yes,  0,  2420.343,  0.80,  0.40,  0.70,  0.20,  -0.60,  0.60,  0 
 vs,  yes,  yes,  1,  1042.592,  0.50,  0.05,  0.70,  0.23,  -0.60,  0.28,  0 
 vs,  no,  yes,  0,  2160.776,  0.50,  0.30,  0.70,  0.10,  -0.60,  0.40,  0 
 vs,  no,  yes,  0,  3000.958,  0.40,  0.25,  0.70,  0.07,  -0.50,  0.32,  0 
 vs,  yes,  yes,  1,  1288.057,  0.50,  0.40,  0.70,  0.05,  -0.70,  0.45,  0 
 vs,  yes,  yes,  1,  1188.374,  0.50,  0.30,  0.70,  0.10,  -0.60,  0.40,  0 
 vs,  yes,  yes,  1,  876.710,  0.40,  0.20,  0.60,  -0.28,  -0.70,  -0.08,  0 
 vs,  yes,  yes,  1,  1673.567,  0.50,  0.20,  0.70,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  2950.652,  0.50,  0.15,  0.60,  0.17,  -0.50,  0.33,  0 
 vs,  yes,  yes,  1,  2864.844,  0.50,  0.00,  0.60,  -0.25,  -0.50,  -0.25,  0 
 vs,  no,  yes,  0,  2494.355,  0.50,  0.15,  0.70,  -0.33,  -0.70,  -0.17,  0 
 vs,  yes,  yes,  1,  1769.321,  0.60,  0.00,  0.70,  -0.29,  -0.60,  -0.29,  0 
 vs,  yes,  yes,  1,  842.428,  0.20,  0.10,  0.60,  -0.17,  -0.50,  -0.07,  0 
 vs,  yes,  yes,  1,  1184.633,  0.80,  0.40,  0.60,  0.20,  -0.60,  0.60,  0 
 vs,  yes,  yes,  1,  2304.933,  0.80,  0.40,  0.70,  0.20,  -0.60,  0.60,  0 
 vs,  yes,  yes,  1,  1660.920,  0.40,  0.25,  0.70,  0.07,  -0.50,  0.32,  0 
 vs,  yes,  yes,  1,  2642.658,  0.50,  0.15,  0.70,  -0.33,  -0.70,  -0.17,  0 
 vs,  no,  no,  1,  2993.434,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  no,  no,  1,  3530.315,  0.50,  0.30,  0.60,  -0.40,  -0.50,  -0.10,  0 
 vs,  yes,  yes,  1,  2485.384,  0.50,  0.00,  0.60,  0.25,  -0.60,  0.25,  0 
 vs,  no,  yes,  0,  2394.083,  0.20,  0.20,  0.70,  -0.07,  -0.60,  0.13,  0 
 vs,  no,  yes,  0,  3056.962,  0.80,  0.40,  0.70,  0.20,  -0.60,  0.60,  0 
 vs,  yes,  yes,  1,  2606.077,  0.70,  0.35,  0.60,  0.16,  -0.60,  0.51,  0 
 vs,  no,  no,  1,  4094.142,  0.50,  0.05,  0.70,  0.23,  -0.60,  0.28,  0 
 vs,  yes,  yes,  1,  1787.375,  0.80,  0.40,  0.60,  0.20,  -0.60,  0.60,  0 
 vs,  yes,  yes,  1,  1099.829,  0.90,  0.15,  0.50,  0.37,  -0.60,  0.52,  0 
 vs,  yes,  yes,  1,  1631.493,  0.30,  0.30,  0.50,  -0.13,  -0.70,  0.17,  0 
 vs,  no,  yes,  0,  3294.618,  0.50,  0.25,  0.70,  -0.38,  -0.60,  -0.12,  0 
 vs,  yes,  yes,  1,  1154.423,  0.30,  0.30,  0.50,  -0.13,  -0.70,  0.17,  0 
 vs,  no,  no,  1,  4060.022,  0.20,  0.10,  0.60,  -0.17,  -0.50,  -0.07,  0 
