 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  no,  no,  1,  2150.424,  0.50,  0.15,  0.70,  0.15,  -0.60,  0.30,  0 
 vs,  yes,  yes,  1,  1536.365,  0.40,  0.35,  0.60,  -0.38,  -0.70,  -0.03,  0 
 vs,  yes,  yes,  1,  1706.758,  0.50,  0.30,  0.50,  0.10,  -0.60,  0.40,  0 
 vs,  no,  no,  1,  2126.546,  0.20,  0.25,  0.50,  -0.03,  -0.60,  0.22,  0 
 vs,  yes,  yes,  1,  1137.787,  0.50,  0.20,  0.50,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  1187.374,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  yes,  yes,  1,  2027.718,  0.70,  0.10,  0.60,  0.30,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  1970.912,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  yes,  yes,  1,  1403.459,  0.50,  0.00,  0.60,  0.25,  -0.70,  0.25,  0 
 vs,  no,  no,  1,  2139.155,  0.60,  0.00,  0.60,  0.30,  -0.50,  0.30,  0 
 vs,  no,  no,  1,  1901.775,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  yes,  no,  0,  1737.630,  0.50,  0.15,  0.60,  -0.33,  -0.70,  -0.17,  0 
 vs,  yes,  yes,  1,  1426.964,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  yes,  yes,  1,  586.020,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  no,  no,  1,  1889.435,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  no,  no,  1,  2565.924,  0.00,  0.00,  0.60,  0.01,  -0.60,  0.01,  0 
 vs,  yes,  yes,  1,  950.685,  0.00,  0.05,  0.60,  -0.04,  -0.70,  0.01,  0 
 vs,  yes,  yes,  1,  1367.553,  0.30,  0.20,  0.70,  0.05,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  664.605,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  no,  no,  1,  2278.023,  0.90,  0.10,  0.50,  0.38,  -0.60,  0.48,  0 
 vs,  yes,  yes,  1,  1883.344,  0.50,  0.30,  0.50,  0.10,  -0.60,  0.40,  0 
 vs,  yes,  yes,  1,  1319.877,  0.50,  0.25,  0.60,  0.12,  -0.60,  0.38,  0 
 vs,  yes,  yes,  1,  1746.883,  0.50,  0.35,  0.50,  0.07,  -0.70,  0.43,  0 
 vs,  yes,  yes,  1,  1573.344,  0.50,  0.20,  0.50,  0.15,  -0.60,  0.35,  0 
 vs,  no,  no,  1,  1870.436,  0.70,  0.10,  0.60,  0.30,  -0.50,  0.40,  0 
 vs,  no,  no,  1,  2155.585,  0.60,  0.00,  0.60,  0.30,  -0.50,  0.30,  0 
 vs,  yes,  yes,  1,  637.548,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  yes,  yes,  1,  1043.648,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  yes,  yes,  1,  985.911,  0.20,  0.05,  0.60,  0.10,  -0.60,  0.15,  0 
 vs,  yes,  yes,  1,  2386.125,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  yes,  yes,  1,  1330.154,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  no,  no,  1,  1861.152,  0.50,  0.40,  0.50,  0.05,  -0.70,  0.45,  0 
 vs,  yes,  yes,  1,  1610.974,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  yes,  yes,  1,  930.073,  0.30,  0.20,  0.70,  0.05,  -0.70,  0.25,  0 
 vs,  no,  no,  1,  1692.956,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  no,  no,  1,  1600.763,  0.50,  0.15,  0.70,  0.15,  -0.60,  0.30,  0 
 vs,  yes,  yes,  1,  1351.847,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  yes,  yes,  1,  897.515,  0.70,  0.20,  0.60,  0.24,  -0.70,  0.44,  0 
 vs,  yes,  yes,  1,  677.757,  0.50,  0.15,  0.60,  -0.33,  -0.70,  -0.17,  0 
 vs,  yes,  yes,  1,  1182.131,  0.50,  0.40,  0.50,  0.05,  -0.70,  0.45,  0 
 vs,  no,  yes,  0,  1174.445,  0.50,  0.25,  0.60,  0.12,  -0.60,  0.38,  0 
 vs,  yes,  yes,  1,  574.282,  0.70,  0.20,  0.60,  0.24,  -0.70,  0.44,  0 
 vs,  no,  no,  1,  1927.027,  0.50,  0.20,  0.60,  -0.35,  -0.70,  -0.15,  0 
 vs,  yes,  yes,  1,  682.238,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  no,  yes,  0,  1845.714,  0.50,  0.20,  0.50,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  2075.089,  0.00,  0.00,  0.60,  0.01,  -0.60,  0.01,  0 
 vs,  no,  yes,  0,  1112.319,  0.50,  0.30,  0.50,  0.10,  -0.60,  0.40,  0 
 vs,  yes,  yes,  1,  1586.138,  0.20,  0.05,  0.60,  0.10,  -0.60,  0.15,  0 
 vs,  no,  no,  1,  3026.547,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  609.457,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  no,  0,  2584.861,  0.50,  0.30,  0.50,  0.10,  -0.60,  0.40,  0 
 vs,  yes,  yes,  1,  1160.507,  0.00,  0.00,  0.60,  0.01,  -0.60,  0.01,  0 
 vs,  yes,  yes,  1,  1137.452,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  no,  no,  1,  2491.756,  0.60,  0.30,  0.70,  0.16,  -0.50,  0.46,  0 
 vs,  no,  no,  1,  2032.446,  0.50,  0.35,  0.50,  0.07,  -0.70,  0.43,  0 
 vs,  yes,  yes,  1,  1255.030,  0.50,  0.30,  0.50,  0.10,  -0.60,  0.40,  0 
 vs,  yes,  yes,  1,  1244.674,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  yes,  no,  0,  1746.973,  0.50,  0.15,  0.70,  0.15,  -0.60,  0.30,  0 
 vs,  yes,  yes,  1,  611.672,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  no,  no,  1,  2099.114,  0.00,  0.05,  0.60,  -0.04,  -0.70,  0.01,  0 
 vs,  yes,  yes,  1,  551.048,  0.60,  0.15,  0.70,  0.25,  -0.70,  0.40,  0 
 vs,  no,  no,  1,  2328.467,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  yes,  yes,  1,  1155.798,  0.70,  0.20,  0.60,  0.24,  -0.70,  0.44,  0 
 vs,  yes,  yes,  1,  1109.426,  0.20,  0.05,  0.60,  0.10,  -0.60,  0.15,  0 
 vs,  yes,  yes,  1,  1753.021,  0.60,  0.30,  0.70,  0.16,  -0.50,  0.46,  0 
 vs,  yes,  yes,  1,  1146.130,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  yes,  yes,  1,  1012.475,  0.60,  0.35,  0.50,  0.14,  -0.60,  0.49,  0 
 vs,  no,  no,  1,  1812.034,  0.40,  0.35,  0.60,  -0.38,  -0.70,  -0.03,  0 
 vs,  yes,  yes,  1,  1907.852,  0.50,  0.15,  0.70,  0.15,  -0.60,  0.30,  0 
 vs,  no,  no,  1,  1951.732,  0.50,  0.40,  0.50,  0.05,  -0.70,  0.45,  0 
 vs,  no,  no,  1,  1576.965,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  yes,  no,  0,  2242.031,  0.20,  0.25,  0.60,  -0.22,  -0.60,  0.03,  0 
 vs,  yes,  yes,  1,  879.520,  0.50,  0.30,  0.70,  0.08,  -0.60,  0.38,  0 
 vs,  yes,  yes,  1,  1820.437,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  yes,  yes,  1,  627.591,  0.50,  0.35,  0.50,  0.07,  -0.70,  0.43,  0 
 vs,  no,  no,  1,  2018.358,  0.90,  0.40,  0.60,  0.27,  -0.70,  0.67,  0 
 vs,  no,  no,  1,  1928.950,  0.60,  0.35,  0.50,  0.14,  -0.60,  0.49,  0 
 vs,  yes,  yes,  1,  748.154,  0.50,  0.20,  0.50,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  1134.304,  0.50,  0.30,  0.50,  0.10,  -0.60,  0.40,  0 
 vs,  yes,  yes,  1,  768.611,  0.50,  0.15,  0.70,  0.15,  -0.60,  0.30,  0 
 vs,  no,  no,  1,  2185.394,  0.60,  0.30,  0.70,  0.16,  -0.50,  0.46,  0 
 vs,  no,  no,  1,  1322.080,  0.00,  0.00,  0.60,  0.01,  -0.60,  0.01,  0 
 vs,  yes,  yes,  1,  669.092,  0.20,  0.25,  0.60,  -0.22,  -0.60,  0.03,  0 
 vs,  yes,  yes,  1,  849.223,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  yes,  yes,  1,  630.080,  0.50,  0.20,  0.60,  -0.35,  -0.70,  -0.15,  0 
 vs,  no,  no,  1,  1652.872,  0.50,  0.05,  0.50,  -0.28,  -0.60,  -0.23,  0 
 vs,  yes,  yes,  1,  618.712,  0.20,  0.25,  0.60,  -0.22,  -0.60,  0.03,  0 
 vs,  no,  yes,  0,  1889.574,  0.60,  0.40,  0.60,  0.10,  -0.50,  0.50,  0 
 vs,  yes,  yes,  1,  845.059,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  no,  no,  1,  1186.640,  0.70,  0.20,  0.60,  0.24,  -0.70,  0.44,  0 
 vs,  no,  no,  1,  1691.034,  0.20,  0.25,  0.50,  -0.03,  -0.60,  0.22,  0 
 vs,  yes,  yes,  1,  599.540,  0.20,  0.25,  0.50,  -0.03,  -0.60,  0.22,  0 
 vs,  yes,  yes,  1,  999.052,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  no,  no,  1,  1582.693,  0.40,  0.35,  0.60,  -0.38,  -0.70,  -0.03,  0 
 vs,  yes,  yes,  1,  591.206,  0.50,  0.20,  0.60,  -0.35,  -0.70,  -0.15,  0 
 vs,  yes,  yes,  1,  1423.348,  0.90,  0.40,  0.60,  0.27,  -0.70,  0.67,  0 
 vs,  no,  no,  1,  2014.463,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  yes,  yes,  1,  910.447,  0.50,  0.20,  0.60,  -0.35,  -0.70,  -0.15,  0 
 vs,  yes,  yes,  1,  1202.048,  0.60,  0.00,  0.60,  0.30,  -0.50,  0.30,  0 
 vs,  no,  no,  1,  1545.098,  0.50,  0.15,  0.70,  0.15,  -0.60,  0.30,  0 
 vs,  yes,  yes,  1,  1099.581,  0.60,  0.00,  0.60,  0.30,  -0.50,  0.30,  0 
 vs,  yes,  yes,  1,  1055.245,  0.60,  0.40,  0.60,  0.10,  -0.50,  0.50,  0 
 vs,  yes,  yes,  1,  1332.888,  0.50,  0.05,  0.50,  -0.28,  -0.60,  -0.23,  0 
 vs,  yes,  yes,  1,  1591.314,  0.60,  0.15,  0.70,  0.25,  -0.70,  0.40,  0 
 vs,  yes,  yes,  1,  1159.827,  0.90,  0.10,  0.50,  0.38,  -0.60,  0.48,  0 
 vs,  yes,  yes,  1,  640.865,  0.70,  0.20,  0.60,  0.24,  -0.70,  0.44,  0 
 vs,  yes,  no,  0,  799.022,  0.00,  0.05,  0.60,  -0.04,  -0.70,  0.01,  0 
 vs,  yes,  yes,  1,  853.493,  0.90,  0.40,  0.60,  0.27,  -0.70,  0.67,  0 
 vs,  yes,  yes,  1,  555.074,  0.60,  0.40,  0.60,  0.10,  -0.50,  0.50,  0 
 vs,  yes,  yes,  1,  476.552,  0.60,  0.30,  0.70,  0.16,  -0.50,  0.46,  0 
 vs,  yes,  yes,  1,  1113.334,  0.50,  0.25,  0.60,  0.12,  -0.60,  0.38,  0 
 vs,  yes,  yes,  1,  885.016,  0.50,  0.40,  0.50,  0.05,  -0.70,  0.45,  0 
 vs,  no,  no,  1,  1744.596,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  no,  no,  1,  1475.167,  0.50,  0.20,  0.60,  -0.35,  -0.70,  -0.15,  0 
 vs,  yes,  yes,  1,  480.293,  0.50,  0.15,  0.70,  0.15,  -0.60,  0.30,  0 
 vs,  no,  no,  1,  973.101,  0.50,  0.00,  0.60,  0.25,  -0.70,  0.25,  0 
 vs,  no,  no,  1,  741.381,  0.90,  0.40,  0.60,  0.27,  -0.70,  0.67,  0 
 vs,  no,  no,  1,  2047.565,  0.70,  0.20,  0.60,  0.24,  -0.70,  0.44,  0 
 vs,  yes,  no,  0,  798.229,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  yes,  no,  0,  1189.346,  0.20,  0.25,  0.60,  -0.22,  -0.60,  0.03,  0 
 vs,  yes,  yes,  1,  829.326,  0.20,  0.25,  0.50,  -0.03,  -0.60,  0.22,  0 
 vs,  no,  no,  1,  1948.270,  0.50,  0.05,  0.50,  -0.28,  -0.60,  -0.23,  0 
 vs,  no,  no,  1,  1830.889,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  no,  no,  1,  1733.480,  0.50,  0.20,  0.50,  0.15,  -0.60,  0.35,  0 
 vs,  yes,  yes,  1,  736.046,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  yes,  yes,  1,  570.263,  0.60,  0.00,  0.60,  0.30,  -0.50,  0.30,  0 
 vs,  no,  no,  1,  1467.079,  0.60,  0.15,  0.70,  0.25,  -0.70,  0.40,  0 
 vs,  no,  no,  1,  1600.155,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  no,  yes,  0,  1368.031,  0.20,  0.25,  0.50,  -0.03,  -0.60,  0.22,  0 
 vs,  no,  no,  1,  1767.375,  0.40,  0.35,  0.60,  -0.38,  -0.70,  -0.03,  0 
 vs,  no,  yes,  0,  920.608,  0.50,  0.30,  0.50,  0.10,  -0.60,  0.40,  0 
 vs,  no,  no,  1,  1050.425,  0.00,  0.05,  0.60,  -0.04,  -0.70,  0.01,  0 
 vs,  yes,  yes,  1,  1055.392,  0.90,  0.40,  0.60,  0.27,  -0.70,  0.67,  0 
 vs,  yes,  yes,  1,  773.036,  0.40,  0.35,  0.60,  -0.38,  -0.70,  -0.03,  0 
 vs,  yes,  yes,  1,  749.952,  0.90,  0.10,  0.50,  0.38,  -0.60,  0.48,  0 
 vs,  yes,  yes,  1,  582.805,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  no,  yes,  0,  1231.009,  0.60,  0.35,  0.50,  0.14,  -0.60,  0.49,  0 
 vs,  yes,  yes,  1,  2340.916,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  no,  no,  1,  1807.008,  0.20,  0.05,  0.60,  0.10,  -0.60,  0.15,  0 
 vs,  no,  no,  1,  1238.939,  0.30,  0.20,  0.70,  0.05,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  837.326,  0.50,  0.15,  0.60,  -0.33,  -0.70,  -0.17,  0 
 vs,  yes,  yes,  1,  578.884,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  no,  yes,  0,  2019.716,  0.70,  0.10,  0.60,  0.30,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  769.887,  0.70,  0.10,  0.60,  0.30,  -0.50,  0.40,  0 
 vs,  no,  no,  1,  1546.794,  0.50,  0.20,  0.60,  -0.35,  -0.70,  -0.15,  0 
 vs,  no,  no,  1,  1517.303,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  yes,  no,  0,  1376.432,  0.60,  0.00,  0.60,  0.30,  -0.50,  0.30,  0 
 vs,  yes,  yes,  1,  960.434,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  770.004,  0.70,  0.10,  0.60,  0.30,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  914.932,  0.50,  0.30,  0.70,  0.08,  -0.60,  0.38,  0 
 vs,  yes,  no,  0,  1654.501,  0.50,  0.15,  0.60,  -0.33,  -0.70,  -0.17,  0 
 vs,  yes,  yes,  1,  995.264,  0.50,  0.40,  0.50,  0.05,  -0.70,  0.45,  0 
 vs,  yes,  yes,  1,  1251.553,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  no,  yes,  0,  1376.605,  0.90,  0.10,  0.50,  0.38,  -0.60,  0.48,  0 
 vs,  yes,  yes,  1,  479.953,  0.50,  0.35,  0.50,  0.07,  -0.70,  0.43,  0 
 vs,  yes,  yes,  1,  1572.743,  0.90,  0.40,  0.60,  0.27,  -0.70,  0.67,  0 
 vs,  yes,  yes,  1,  525.873,  0.50,  0.25,  0.60,  0.12,  -0.60,  0.38,  0 
 vs,  no,  no,  1,  1640.660,  0.50,  0.30,  0.70,  0.08,  -0.60,  0.38,  0 
 vs,  no,  no,  1,  1911.195,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  yes,  no,  0,  802.507,  0.00,  0.00,  0.60,  0.01,  -0.60,  0.01,  0 
 vs,  yes,  yes,  1,  712.947,  0.50,  0.35,  0.50,  0.07,  -0.70,  0.43,  0 
 vs,  no,  no,  1,  1116.469,  0.30,  0.20,  0.70,  0.05,  -0.70,  0.25,  0 
 vs,  yes,  no,  0,  1119.460,  0.60,  0.15,  0.70,  0.25,  -0.70,  0.40,  0 
 vs,  yes,  no,  0,  1169.333,  0.00,  0.05,  0.60,  -0.04,  -0.70,  0.01,  0 
 vs,  yes,  yes,  1,  1481.282,  0.60,  0.40,  0.60,  0.10,  -0.50,  0.50,  0 
 vs,  no,  no,  1,  2766.384,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  no,  no,  1,  2159.963,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  778.009,  0.60,  0.15,  0.70,  0.25,  -0.70,  0.40,  0 
 vs,  yes,  no,  0,  1522.881,  0.50,  0.20,  0.60,  -0.35,  -0.70,  -0.15,  0 
 vs,  no,  no,  1,  2492.934,  0.50,  0.25,  0.60,  0.12,  -0.60,  0.38,  0 
 vs,  yes,  yes,  1,  713.720,  0.60,  0.35,  0.50,  0.14,  -0.60,  0.49,  0 
 vs,  yes,  yes,  1,  1357.289,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  yes,  yes,  1,  527.007,  0.60,  0.15,  0.70,  0.25,  -0.70,  0.40,  0 
 vs,  yes,  yes,  1,  1945.856,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  yes,  yes,  1,  532.445,  0.50,  0.00,  0.60,  0.25,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  1493.938,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  no,  yes,  0,  2002.396,  0.50,  0.35,  0.50,  0.07,  -0.70,  0.43,  0 
 vs,  no,  no,  1,  2257.261,  0.90,  0.10,  0.50,  0.38,  -0.60,  0.48,  0 
 vs,  yes,  yes,  1,  991.337,  0.00,  0.00,  0.60,  0.01,  -0.60,  0.01,  0 
 vs,  yes,  yes,  1,  1903.618,  0.60,  0.35,  0.50,  0.14,  -0.60,  0.49,  0 
 vs,  no,  no,  1,  1827.577,  0.60,  0.40,  0.60,  0.10,  -0.50,  0.50,  0 
 vs,  yes,  yes,  1,  1746.814,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  yes,  yes,  1,  1068.652,  0.50,  0.05,  0.50,  -0.28,  -0.60,  -0.23,  0 
 vs,  yes,  yes,  1,  833.715,  0.50,  0.30,  0.70,  0.08,  -0.60,  0.38,  0 
 vs,  yes,  yes,  1,  903.932,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  yes,  yes,  1,  1227.524,  0.70,  0.20,  0.60,  0.24,  -0.70,  0.44,  0 
 vs,  no,  no,  1,  1802.592,  0.50,  0.35,  0.50,  0.07,  -0.70,  0.43,  0 
 vs,  no,  no,  1,  1586.502,  0.50,  0.15,  0.60,  -0.33,  -0.70,  -0.17,  0 
 vs,  no,  no,  1,  1867.002,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  yes,  yes,  1,  607.618,  0.50,  0.05,  0.50,  -0.28,  -0.60,  -0.23,  0 
 vs,  yes,  yes,  1,  1487.074,  0.40,  0.35,  0.60,  -0.38,  -0.70,  -0.03,  0 
 vs,  yes,  yes,  1,  803.522,  0.00,  0.05,  0.60,  -0.04,  -0.70,  0.01,  0 
 vs,  no,  yes,  0,  1827.128,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  1305.269,  0.70,  0.10,  0.60,  0.30,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  1436.332,  0.00,  0.00,  0.60,  0.01,  -0.60,  0.01,  0 
 vs,  no,  no,  1,  2282.818,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  1351.556,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  yes,  yes,  1,  552.609,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  no,  no,  1,  2129.435,  0.70,  0.10,  0.60,  0.30,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  1604.803,  0.50,  0.00,  0.60,  0.25,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  1196.618,  0.90,  0.10,  0.50,  0.38,  -0.60,  0.48,  0 
 vs,  no,  no,  1,  1695.595,  0.60,  0.15,  0.70,  0.25,  -0.70,  0.40,  0 
 vs,  no,  no,  1,  1516.127,  0.50,  0.40,  0.50,  0.05,  -0.70,  0.45,  0 
 vs,  yes,  yes,  1,  1767.265,  0.70,  0.10,  0.60,  0.30,  -0.50,  0.40,  0 
 vs,  yes,  yes,  1,  1288.516,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  1436.942,  0.60,  0.30,  0.70,  0.16,  -0.50,  0.46,  0 
