 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  no,  no,  1,  2212.218,  0.50,  0.00,  0.60,  0.25,  -0.70,  0.25,  0 
 vs,  no,  no,  1,  2196.173,  0.50,  0.00,  0.60,  0.25,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  740.122,  0.70,  0.20,  0.60,  0.24,  -0.70,  0.44,  0 
 vs,  no,  no,  1,  2198.252,  0.60,  0.40,  0.60,  0.10,  -0.50,  0.50,  0 
 vs,  yes,  yes,  1,  966.841,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  yes,  yes,  1,  1111.730,  0.50,  0.25,  0.60,  -0.38,  -0.50,  -0.12,  0 
 vs,  yes,  yes,  1,  1315.338,  0.50,  0.05,  0.50,  -0.28,  -0.60,  -0.23,  0 
 vs,  no,  no,  1,  1758.289,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  no,  yes,  0,  1367.466,  0.60,  0.35,  0.50,  0.14,  -0.60,  0.49,  0 
 vs,  yes,  no,  0,  1919.366,  0.30,  0.20,  0.70,  0.05,  -0.70,  0.25,  0 
 vs,  yes,  yes,  1,  825.443,  0.90,  0.10,  0.50,  0.38,  -0.60,  0.48,  0 
 vs,  yes,  yes,  1,  2503.595,  0.00,  0.05,  0.60,  -0.04,  -0.70,  0.01,  0 
 vs,  no,  no,  1,  1803.613,  0.50,  0.30,  0.70,  0.08,  -0.60,  0.38,  0 
 vs,  no,  no,  1,  1962.779,  0.20,  0.25,  0.60,  -0.22,  -0.60,  0.03,  0 
 vs,  no,  no,  1,  1828.023,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  739.126,  0.50,  0.35,  0.50,  0.07,  -0.70,  0.43,  0 
 vs,  yes,  yes,  1,  1309.330,  0.90,  0.10,  0.50,  0.38,  -0.60,  0.48,  0 
 vs,  no,  no,  1,  1553.019,  0.20,  0.25,  0.60,  -0.22,  -0.60,  0.03,  0 
 vs,  yes,  yes,  1,  874.680,  0.50,  0.05,  0.50,  -0.28,  -0.60,  -0.23,  0 
 vs,  no,  no,  1,  2135.554,  0.50,  0.05,  0.50,  -0.28,  -0.60,  -0.23,  0 
 vs,  yes,  yes,  1,  681.524,  0.50,  0.15,  0.60,  0.17,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  734.279,  0.20,  0.25,  0.60,  -0.22,  -0.60,  0.03,  0 
 vs,  yes,  yes,  1,  736.455,  0.50,  0.10,  0.60,  0.20,  -0.70,  0.30,  0 
 vs,  yes,  yes,  1,  914.586,  0.50,  0.20,  0.50,  0.15,  -0.60,  0.35,  0 
 vs,  no,  yes,  0,  1221.447,  0.50,  0.30,  0.70,  -0.40,  -0.50,  -0.10,  0 
 vs,  yes,  yes,  1,  1627.275,  0.50,  0.15,  0.60,  -0.33,  -0.70,  -0.17,  0 
 vs,  yes,  yes,  1,  1626.365,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  no,  no,  1,  1961.424,  0.00,  0.05,  0.60,  -0.04,  -0.70,  0.01,  0 
 vs,  yes,  yes,  1,  1059.347,  0.40,  0.35,  0.60,  -0.38,  -0.70,  -0.03,  0 
 vs,  no,  no,  1,  2152.922,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  yes,  yes,  1,  1250.849,  0.60,  0.40,  0.60,  0.10,  -0.50,  0.50,  0 
 vs,  yes,  yes,  1,  656.487,  0.20,  0.25,  0.60,  -0.22,  -0.60,  0.03,  0 
 vs,  no,  no,  1,  1741.901,  0.50,  0.05,  0.60,  0.23,  -0.50,  0.28,  0 
 vs,  yes,  no,  0,  1864.393,  0.20,  0.25,  0.50,  -0.03,  -0.60,  0.22,  0 
 vs,  yes,  yes,  1,  1773.122,  0.60,  0.00,  0.60,  0.30,  -0.50,  0.30,  0 
 vs,  yes,  yes,  1,  750.253,  0.30,  0.20,  0.70,  0.05,  -0.70,  0.25,  0 
 vs,  no,  no,  1,  1967.044,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  no,  no,  1,  2008.282,  0.50,  0.10,  0.60,  -0.30,  -0.70,  -0.20,  0 
 vs,  yes,  yes,  1,  808.146,  0.50,  0.40,  0.50,  -0.45,  -0.60,  -0.05,  0 
 vs,  yes,  yes,  1,  1911.006,  0.60,  0.30,  0.70,  0.16,  -0.50,  0.46,  0 
 vs,  yes,  yes,  1,  1770.214,  0.50,  0.40,  0.50,  0.05,  -0.70,  0.45,  0 
 vs,  yes,  yes,  1,  2027.346,  0.50,  0.00,  0.60,  -0.25,  -0.60,  -0.25,  0 
 vs,  no,  no,  1,  1914.535,  0.90,  0.40,  0.60,  0.27,  -0.70,  0.67,  0 
