 condition,  answer,  response,  correct,  RT,  N/T  disimilarity,N/N  disimilarity,  x1,  y1,  x2,y2,  orientation 
 vs,  no,  no,  1,  5528.841,  0.50,  0.40,  0.70,  0.05,  -0.60,  0.45,  0 
 vs,  yes,  no,  0,  2637.195,  0.70,  0.10,  0.60,  0.31,  -0.60,  0.41,  0 
 vs,  yes,  no,  0,  3498.110,  0.10,  0.00,  0.50,  -0.06,  -0.70,  -0.06,  0 
 vs,  yes,  yes,  1,  4293.293,  0.50,  0.30,  0.60,  0.10,  -0.50,  0.40,  0 
 vs,  no,  no,  1,  5610.574,  0.40,  0.40,  0.70,  -0.07,  -0.60,  0.33,  0 
 vs,  no,  no,  1,  3579.615,  0.50,  0.05,  0.60,  -0.28,  -0.60,  -0.23,  0 
 vs,  no,  no,  1,  3581.287,  0.00,  0.05,  0.60,  -0.02,  -0.70,  0.03,  0 
 vs,  no,  no,  1,  3885.737,  0.50,  0.20,  0.60,  -0.35,  -0.60,  -0.15,  0 
 vs,  yes,  yes,  1,  946.891,  0.50,  0.10,  0.60,  0.20,  -0.50,  0.30,  0 
 vs,  yes,  yes,  1,  1045.181,  0.50,  0.00,  0.60,  0.25,  -0.60,  0.25,  0 
 vs,  yes,  yes,  1,  3235.348,  0.90,  0.15,  0.60,  0.39,  -0.70,  0.54,  0 
 vs,  yes,  yes,  1,  738.280,  0.50,  0.10,  0.50,  -0.30,  -0.50,  -0.20,  0 
 vs,  yes,  yes,  1,  1884.465,  0.20,  0.20,  0.70,  -0.15,  -0.60,  0.05,  0 
 vs,  no,  no,  1,  4328.224,  0.40,  0.25,  0.70,  0.05,  -0.70,  0.30,  0 
 vs,  no,  no,  1,  2604.217,  0.40,  0.40,  0.70,  -0.07,  -0.60,  0.33,  0 
 vs,  yes,  yes,  1,  948.297,  0.50,  0.05,  0.60,  -0.28,  -0.60,  -0.23,  0 
 vs,  yes,  yes,  1,  3134.467,  1.00,  0.35,  0.70,  0.34,  -0.50,  0.69,  0 
 vs,  yes,  yes,  1,  2025.479,  0.40,  0.40,  0.50,  -0.31,  -0.70,  0.09,  0 
 vs,  yes,  yes,  1,  1656.660,  0.40,  0.40,  0.70,  -0.07,  -0.60,  0.33,  0 
 vs,  no,  no,  1,  4606.376,  0.10,  0.00,  0.50,  -0.06,  -0.70,  -0.06,  0 
 vs,  yes,  yes,  1,  1350.482,  0.50,  0.15,  0.60,  0.17,  -0.50,  0.33,  0 
 vs,  no,  no,  1,  4208.066,  0.50,  0.20,  0.60,  0.15,  -0.50,  0.35,  0 
 vs,  yes,  yes,  1,  1328.103,  0.50,  0.05,  0.60,  -0.28,  -0.60,  -0.23,  0 
 vs,  no,  no,  1,  2347.115,  0.00,  0.05,  0.60,  -0.02,  -0.70,  0.03,  0 
 vs,  yes,  yes,  1,  1725.730,  0.20,  0.20,  0.70,  -0.15,  -0.60,  0.05,  0 
 vs,  yes,  yes,  1,  1552.222,  0.00,  0.05,  0.60,  -0.02,  -0.70,  0.03,  0 
 vs,  no,  no,  1,  3169.928,  0.70,  0.10,  0.50,  0.31,  -0.60,  0.41,  0 
 vs,  no,  no,  1,  4131.519,  0.50,  0.30,  0.70,  0.11,  -0.60,  0.41,  0 
 vs,  no,  no,  1,  3110.756,  0.50,  0.35,  0.70,  0.07,  -0.60,  0.43,  0 
 vs,  yes,  yes,  1,  1843.018,  0.20,  0.15,  0.50,  -0.20,  -0.50,  -0.05,  0 
 vs,  yes,  yes,  1,  2120.854,  0.50,  0.25,  0.60,  0.12,  -0.60,  0.38,  0 
 vs,  yes,  yes,  1,  3004.057,  0.50,  0.30,  0.70,  0.11,  -0.60,  0.41,  0 
 vs,  yes,  yes,  1,  2084.300,  0.00,  0.05,  0.60,  -0.02,  -0.70,  0.03,  0 
 vs,  no,  no,  1,  4480.804,  0.70,  0.10,  0.50,  0.31,  -0.60,  0.41,  0 
 vs,  yes,  yes,  1,  4230.231,  0.20,  0.05,  0.60,  -0.14,  -0.60,  -0.09,  0 
 vs,  no,  no,  1,  3966.141,  1.00,  0.25,  0.60,  0.39,  -0.70,  0.64,  0 
 vs,  yes,  yes,  1,  1207.989,  0.90,  0.15,  0.60,  0.39,  -0.70,  0.54,  0 
 vs,  yes,  yes,  1,  695.651,  0.50,  0.10,  0.50,  -0.30,  -0.50,  -0.20,  0 
 vs,  yes,  yes,  1,  3123.763,  0.50,  0.10,  0.60,  0.20,  -0.50,  0.30,  0 
 vs,  no,  no,  1,  6102.656,  0.50,  0.10,  0.50,  -0.30,  -0.50,  -0.20,  0 
 vs,  yes,  yes,  1,  2611.901,  0.40,  0.40,  0.70,  -0.07,  -0.60,  0.33,  0 
 vs,  no,  no,  1,  3443.975,  0.50,  0.20,  0.60,  -0.35,  -0.60,  -0.15,  0 
 vs,  no,  no,  1,  3770.992,  0.50,  0.25,  0.60,  0.12,  -0.60,  0.38,  0 
 vs,  yes,  yes,  1,  956.792,  0.50,  0.05,  0.60,  0.23,  -0.70,  0.28,  0 
 vs,  no,  no,  1,  2814.345,  0.50,  0.15,  0.60,  0.17,  -0.50,  0.33,  0 
 vs,  yes,  yes,  1,  1470.553,  0.50,  0.35,  0.60,  -0.43,  -0.60,  -0.08,  0 
 vs,  no,  no,  1,  4419.582,  0.50,  0.10,  0.50,  -0.30,  -0.50,  -0.20,  0 
 vs,  no,  no,  1,  3843.620,  0.20,  0.20,  0.70,  -0.05,  -0.60,  0.15,  0 
 vs,  no,  no,  1,  3330.724,  0.20,  0.15,  0.50,  -0.20,  -0.50,  -0.05,  0 
 vs,  yes,  yes,  1,  1142.406,  0.50,  0.00,  0.60,  0.25,  -0.60,  0.25,  0 
 vs,  yes,  no,  0,  3152.646,  0.40,  0.00,  0.70,  0.22,  -0.60,  0.22,  0 
 vs,  no,  no,  1,  4505.824,  0.50,  0.00,  0.60,  0.25,  -0.60,  0.25,  0 
 vs,  yes,  no,  0,  3670.690,  0.50,  0.30,  0.70,  0.11,  -0.60,  0.41,  0 
 vs,  yes,  yes,  1,  1922.783,  0.20,  0.05,  0.60,  -0.14,  -0.60,  -0.09,  0 
 vs,  yes,  yes,  1,  1990.019,  0.50,  0.40,  0.70,  0.05,  -0.60,  0.45,  0 
